4565	6450
6977	3142
6976	2889
2458	878
7151	1890
2268	570
2641	6540
1738	3923
1939	5872
4792	5303
2951	4742
6306	80
7176	4904
6389	4639
6390	4641
1700	1808
1896	6222
2930	3171
4119	6450
1284	2889
2346	570
2345	6540
5705	3923
6097	1122
2496	5872
6857	5303
5443	4742
5690	80
3536	4904
3537	4639
2963	4641
7245	1808
3535	7591
2427	2884
4987	2117
1773	6273
1478	2657
7006	2652
446	6222
6939	3171
808	6450
807	3142
1991	2889
4918	878
3289	3923
5287	1122
4765	5872
1017	5303
1774	4742
2251	80
1051	4904
1664	4639
2032	4641
6271	1808
164	7591
2851	2884
5898	2117
2732	6273
553	2652
3242	6222
846	3171
5304	3142
3386	2889
109	1890
1517	6540
1318	3923
3622	1122
7541	5872
5040	5303
2252	4742
46	80
1985	4904
2548	4639
7421	4641
1476	1808
4957	7591
535	2117
351	6273
3877	2657
4565	2652
6977	6222
6976	3171
387	6450
4993	2889
5089	878
4288	1890
7632	570
1060	3923
6461	1122
2949	5872
2946	5303
6019	80
1959	4904
3919	4639
290	2657
2843	2652
6365	6222
2833	3171
5990	6450
3900	3142
802	2889
687	1890
2823	570
4525	6540
2467	3923
7048	5872
334	5303
4526	80
2228	4904
2229	4639
3866	4641
1724	1808
776	7591
2761	2884
5972	2117
967	6273
5190	2657
1083	2652
3287	3171
3941	6450
7399	2889
6610	878
1554	1890
4670	6540
6830	3923
2727	1122
4748	5872
4923	5303
5176	4742
4869	1808
2220	7591
4554	2884
1145	2117
5185	2657
6824	2652
647	6450
971	878
821	6540
5073	3923
316	1122
3486	5872
146	5303
4712	80
2364	4639
4870	4641
1460	1808
4534	2884
7365	6273
759	2657
6892	2652
3456	6222
2463	3171
1857	3142
5691	2889
7075	878
1499	6540
6777	3923
2367	1122
6929	5872
4228	5303
1786	4742
5617	80
1090	4639
6648	1808
2887	7591
3684	6273
2956	2657
6486	2652
6138	6222
1118	3171
6103	3142
7531	6540
3882	1122
387	5872
4993	5303
5089	4742
4288	80
7632	4904
1060	4641
2535	1808
4763	7591
6461	2884
2949	2117
2409	6273
2946	2657
6019	6222
1959	3171
323	6450
3873	3142
3940	2889
4995	878
5276	1890
2998	570
2075	6540
5122	3923
4483	5872
3487	5303
6685	4904
1135	4639
1134	4641
5418	7591
534	2884
7483	2117
513	6273
7210	2657
5041	2652
3226	6222
6577	3171
347	6450
7377	3142
6207	2889
1303	878
6894	1890
2072	570
327	6540
5739	3923
2879	5872
363	5303
1660	4904
6105	4639
1295	1808
4630	7591
5081	2884
3574	2117
3246	6273
5029	2657
2042	2652
6228	6222
2620	3171
7117	6450
4012	3142
5932	2889
4855	878
5091	1890
2015	570
6388	6540
2723	3923
6981	1122
2119	5872
650	5303
2261	4742
7527	80
5986	4904
5336	4639
5083	4641
5082	1808
7605	7591
5120	2884
5118	2117
3317	6273
4692	2657
6443	2652
1906	6222
3899	3142
3084	2889
1584	878
2277	1890
6113	3923
7211	1122
6351	5872
3833	4742
5724	80
2788	4904
2334	4641
7243	1808
7219	2884
6765	6273
2130	6222
3616	3142
5754	2889
3462	878
2216	1890
3461	3923
5175	1122
3572	4742
7458	80
7206	4904
5658	4639
6302	7591
7553	2884
217	2117
6476	6273
866	2657
6475	2652
